27 дек. 2022 08:41:52,543  INFO StartLogger - Logics instance has stopped...
27 дек. 2022 08:41:52,544  INFO StartLogger - Server has stopped...
27 дек. 2022 09:09:43,223  INFO StartLogger - Server is starting...
27 дек. 2022 09:09:44,415  INFO StartLogger - Logics instance is starting...
27 дек. 2022 09:09:44,462  INFO StartLogger - Initializing BusinessLogics
27 дек. 2022 09:09:44,470  INFO StartLogger - Creating modules
27 дек. 2022 09:09:44,469  INFO StartLogger - Initializing string literals data
27 дек. 2022 09:09:44,470  INFO StartLogger - Initializing localizer
27 дек. 2022 09:09:44,920  INFO StartLogger - Initializing dependencies
27 дек. 2022 09:09:45,085  INFO StartLogger - Initializing modules order
27 дек. 2022 09:09:45,088  INFO StartLogger - Initializing metacodes and classes
27 дек. 2022 09:09:45,650  INFO StartLogger - Initializing object class
27 дек. 2022 09:09:45,656  INFO StartLogger - Initializing tables
27 дек. 2022 09:09:45,756  INFO StartLogger - Initializing class tables
27 дек. 2022 09:09:45,853  INFO StartLogger - Initializing full tables with one key
27 дек. 2022 09:09:45,854  INFO StartLogger - Initializing main logic
27 дек. 2022 09:09:45,866  INFO StartLogger - Initializing main logic for module : #1 of 42 System (actual: 1)
27 дек. 2022 09:09:46,489  INFO StartLogger - Initializing main logic for module : #2 of 42 OpenCV (actual: 40)
27 дек. 2022 09:09:46,490  INFO StartLogger - Initializing main logic for module : #5 of 42 Image (actual: 18)
27 дек. 2022 09:09:46,490  INFO StartLogger - Initializing main logic for module : #6 of 42 Integration (actual: 27)
27 дек. 2022 09:09:46,489  INFO StartLogger - Initializing main logic for module : #3 of 42 DefaultData (actual: 13)
27 дек. 2022 09:09:46,489  INFO StartLogger - Initializing main logic for module : #4 of 42 HockeyStats (actual: 16)
27 дек. 2022 09:09:46,492  INFO StartLogger - Initializing main logic for module : #7 of 42 ProcessUtils (actual: 35)
27 дек. 2022 09:09:46,494  INFO StartLogger - Initializing main logic for module : #8 of 42 MasterData (actual: 6)
27 дек. 2022 09:09:46,495  INFO StartLogger - Initializing main logic for module : #9 of 42 Time (actual: 2)
27 дек. 2022 09:09:46,501  INFO StartLogger - Initializing main logic for module : #10 of 42 Com (actual: 31)
27 дек. 2022 09:09:46,502  INFO StartLogger - Initializing main logic for module : #11 of 42 Sound (actual: 34)
27 дек. 2022 09:09:46,503  INFO StartLogger - Initializing main logic for module : #12 of 42 Printer (actual: 17)
27 дек. 2022 09:09:46,512  INFO StartLogger - Initializing main logic for module : #13 of 42 Numerator (actual: 19)
27 дек. 2022 09:09:46,635  INFO StartLogger - Initializing main logic for module : #14 of 42 Authentication (actual: 3)
27 дек. 2022 09:09:46,635  INFO StartLogger - Initializing main logic for module : #15 of 42 Utils (actual: 7)
27 дек. 2022 09:09:46,726  INFO StartLogger - Initializing main logic for module : #16 of 42 Schedule (actual: 41)
27 дек. 2022 09:09:46,726  INFO StartLogger - Initializing main logic for module : #17 of 42 Hierarchy (actual: 24)
27 дек. 2022 09:09:46,726  INFO StartLogger - Initializing main logic for module : #18 of 42 Fax (actual: 42)
27 дек. 2022 09:09:46,726  INFO StartLogger - Initializing main logic for module : #20 of 42 Excel (actual: 25)
27 дек. 2022 09:09:46,726  INFO StartLogger - Initializing main logic for module : #19 of 42 I18n (actual: 30)
27 дек. 2022 09:09:46,726  INFO StartLogger - Initializing main logic for module : #21 of 42 Geo (actual: 36)
27 дек. 2022 09:09:46,880  INFO StartLogger - Initializing main logic for module : #22 of 42 ProcessMonitor (actual: 21)
27 дек. 2022 09:09:46,880  INFO StartLogger - Initializing main logic for module : #23 of 42 Reflection (actual: 4)
27 дек. 2022 09:09:46,880  INFO StartLogger - Initializing main logic for module : #24 of 42 Document (actual: 20)
27 дек. 2022 09:09:46,880  INFO StartLogger - Initializing main logic for module : #25 of 42 Historizable (actual: 23)
27 дек. 2022 09:09:47,033  INFO StartLogger - Initializing main logic for module : #26 of 42 Email (actual: 9)
27 дек. 2022 09:09:47,034  INFO StartLogger - Initializing main logic for module : #27 of 42 Messenger (actual: 32)
27 дек. 2022 09:09:47,034  INFO StartLogger - Initializing main logic for module : #28 of 42 SystemEvents (actual: 5)
27 дек. 2022 09:09:47,057  INFO StartLogger - Initializing main logic for module : #29 of 42 Telegram (actual: 33)
27 дек. 2022 09:09:47,057  INFO StartLogger - Initializing main logic for module : #30 of 42 Skype (actual: 38)
27 дек. 2022 09:09:47,057  INFO StartLogger - Initializing main logic for module : #31 of 42 Slack (actual: 39)
27 дек. 2022 09:09:47,057  INFO StartLogger - Initializing main logic for module : #32 of 42 Viber (actual: 37)
27 дек. 2022 09:09:47,137  INFO StartLogger - Initializing main logic for module : #33 of 42 Security (actual: 10)
27 дек. 2022 09:09:47,137  INFO StartLogger - Initializing main logic for module : #34 of 42 Word (actual: 8)
27 дек. 2022 09:09:47,295  INFO StartLogger - Initializing main logic for module : #35 of 42 Service (actual: 11)
27 дек. 2022 09:09:47,458  INFO StartLogger - Initializing main logic for module : #36 of 42 Profiler (actual: 26)
27 дек. 2022 09:09:47,458  INFO StartLogger - Initializing main logic for module : #37 of 42 Eval (actual: 29)
27 дек. 2022 09:09:47,459  INFO StartLogger - Initializing main logic for module : #38 of 42 Chat (actual: 28)
27 дек. 2022 09:09:47,462  INFO StartLogger - Initializing main logic for module : #39 of 42 SQLUtils (actual: 22)
27 дек. 2022 09:09:47,473  INFO StartLogger - Initializing main logic for module : #40 of 42 Scheduler (actual: 12)
27 дек. 2022 09:09:47,557  INFO StartLogger - Initializing main logic for module : #41 of 42 SchedulerDefaultData (actual: 14)
27 дек. 2022 09:09:47,563  INFO StartLogger - Initializing main logic for module : #42 of 42 Backup (actual: 15)
27 дек. 2022 09:09:47,613  INFO StartLogger - Finalizing classes
27 дек. 2022 09:09:47,613  INFO StartLogger - Checking for duplicate elements
27 дек. 2022 09:09:47,613  INFO StartLogger - Finalizing groups
27 дек. 2022 09:09:47,638  INFO StartLogger - Filling implicit cases
27 дек. 2022 09:09:47,638  INFO StartLogger - Finalizing abstract actions
27 дек. 2022 09:09:47,638  INFO StartLogger - Initializing abstract properties
27 дек. 2022 09:09:47,718  INFO StartLogger - Initializing class aggr props
27 дек. 2022 09:09:47,718  INFO StartLogger - Initializing fields for data and materialized properties
27 дек. 2022 09:09:47,718  INFO StartLogger - Checking abstract
27 дек. 2022 09:09:47,736  INFO StartLogger - Looking for recursions in abstract actions / properties
27 дек. 2022 09:09:47,758  INFO StartLogger - Setup property policy
27 дек. 2022 09:09:47,758  INFO StartLogger - Finalizing navigator elements
27 дек. 2022 09:09:47,758  INFO StartLogger - Setup reset files
27 дек. 2022 09:09:47,758  INFO StartLogger - Setup drill-down
27 дек. 2022 09:09:47,769  INFO StartLogger - Initializing reflection events
27 дек. 2022 09:09:47,769  INFO StartLogger - Initializing indices
27 дек. 2022 09:09:47,769  INFO StartLogger - Finalizing tables
27 дек. 2022 09:09:47,843  INFO StartLogger - Setup action policy
27 дек. 2022 09:09:47,843  INFO StartLogger - Showing dependencies
27 дек. 2022 09:09:48,364  INFO StartLogger - Error starting server, server will be stopped.
27 дек. 2022 09:09:48,364  INFO StartLogger - Server is stopping...
27 дек. 2022 09:09:48,364  INFO StartLogger - Logics instance is stopping...
27 дек. 2022 09:09:48,365  INFO StartLogger - Logics instance has stopped...
27 дек. 2022 09:09:48,367  INFO StartLogger - Server has stopped...
27 дек. 2022 09:14:51,423  INFO StartLogger - Server is starting...
27 дек. 2022 09:14:52,584  INFO StartLogger - Logics instance is starting...
27 дек. 2022 09:14:52,631  INFO StartLogger - Initializing BusinessLogics
27 дек. 2022 09:14:52,638  INFO StartLogger - Initializing string literals data
27 дек. 2022 09:14:52,639  INFO StartLogger - Creating modules
27 дек. 2022 09:14:52,639  INFO StartLogger - Initializing localizer
27 дек. 2022 09:14:53,022  INFO StartLogger - Initializing dependencies
27 дек. 2022 09:14:53,166  INFO StartLogger - Initializing modules order
27 дек. 2022 09:14:53,169  INFO StartLogger - Initializing metacodes and classes
27 дек. 2022 09:14:53,676  INFO StartLogger - Initializing object class
27 дек. 2022 09:14:53,679  INFO StartLogger - Initializing tables
27 дек. 2022 09:14:53,758  INFO StartLogger - Initializing class tables
27 дек. 2022 09:14:53,853  INFO StartLogger - Initializing full tables with one key
27 дек. 2022 09:14:53,856  INFO StartLogger - Initializing main logic
